rating,review_count,name,categories/0/0,location/display_address/0,location/coordinate/latitude,location/coordinate/longitude
4.5,214,Al Carbon Chicken,Mexican,1871 Seminole Trl,38.087011,-78.469807
4.5,85,Brazos Tacos,Mexican,925 2nd St SE,38.02459192,-78.48313637
3.5,39,The Bebedero,Mexican,313 2nd Street SE,38.0288478,-78.48131494
4,35,La Joya Mexican Restaurant,Mexican,1145 5th St SW,38.01264569,-78.50225843
3.5,57,Guadalajara Mexican Restaurant,Mexican,806 E Market St,38.02980646,-78.47588494
4.5,12,El Tako Nako,Mexican,2405 Hydraulic Rd,38.07404146,-78.5055542
3,38,El Jaripeo,Mexican,1202 W Main St,38.03304255,-78.49692285
3,52,Plaza Azteca,Mexican,101 Seminole Ct,38.066308,-78.486882
3,70,Mono Loco,Mexican,200 W Water St,38.0301819,-78.4828186
4,24,Baja Bean Co Restaurante Y Cantina,Mexican,2291 Seminole Ln,38.098656,-78.4626444
3,31,Guadalajara Mexican Restaurant,Mexican,2206 Fontaine Ave,38.02558,-78.51581
4,16,Guadalajara,Mexican,108 Town And Country Ln,38.03393,-78.44929
3.5,51,Aqui Es Mexico,Mexican,221 Carlton Rd,38.02385712,-78.46964264
5,2,Don Panchito Tacos,Mexican,1193 Seminole Trl,38.06976149,-78.48425028
3,30,Guadalajara,Mexican,395 Greenbrier Dr,38.07044601,-78.48568726
3,23,El Puerto,Mexican,2045 Barracks Rd,38.0522121,-78.4986151
3,59,Yearbook Taco,Mexican,223 W Main St,38.03146,-78.482643
4.5,9,Mi Casa,Mexican,3440 Seminole Trail,38.13078419,-78.43788422
4.5,55,Thai Cuisine & Noodle House,Thai,2005 Commonwealth Dr,38.0668144,-78.4960738
4.5,28,Thai Fresh,Thai,106 5th St SE,38.029522,-78.478516
4,90,Thai '99 II Restaurant & Bar,Thai,915 Gardens Blvd,38.0844383,-78.4703674
4,107,Lemongrass,Thai,104 14th St NW,38.03437805,-78.49902344
3.5,64,Pad Thai,Thai,156 Carlton Rd,38.02463531,-78.46843719
3.5,85,Monsoon Siam,Thai,113 W Market St,38.03193,-78.48167
4,78,Lime Leaf,Thai,1958 Rio Hill Ctr,38.0882352,-78.4726067
3,64,Tara Thai,Thai,Barracks Road Shopping Centre,38.05214712,-78.50198927
3,62,Thai'99 Restaurant,Thai,2210 Fontaine Ave,38.02557755,-78.51626587
3,39,Downtown Thai,Thai,111 W Water St,38.03036766,-78.4823821
4.5,87,Cafe 88,Chinese,923 Preston Ave,38.0388129,-78.4901108
3.5,165,Peter Chang's China Grill,Chinese,2162 Barracks Rd,38.05538535,-78.5018038
3.5,100,Taste of China,Chinese,612 Albemarle Sq,38.08369228,-78.4714123
4,151,Marco & Luca,Chinese,112 W Main St,38.03079419,-78.48167516
3.5,45,Red Lantern Chinese Restaurant,Chinese,221 Carlton Rd,38.02385712,-78.46964264
3.5,44,Ginkgo,Chinese,104 14th St NW,38.034378,-78.499023
4.5,14,Oriental Express,Chinese,3440 Seminole Trl,38.13080978,-78.43768311
3,35,Yuan Ho Carryout,Chinese,117 Maury Ave,38.0268296,-78.5159356
4,59,Marco & Luca Dumpling Store,Chinese,107 Elliewood Ave,38.03572463,-78.50073603
3,19,Hong Kong Restaurant,Chinese,32 Mill Creek Dr,38.0009499,-78.4963226
3.5,16,Jade Garden,Chinese,1139 5th St SW,38.0130119,-78.501976
4,32,Got Dumplings,Chinese,1395 W Main St,38.0340614,-78.4992065
4,5,Chopsticks Express of Charlottesville,Chinese,1841 Seminole Trl,38.0865963,-78.4707709
3,21,East Garden,Chinese,120 Riverbend Dr,38.032986,-78.455544
2.5,21,Szechuan Restaurant,Chinese,2006 Holiday Dr,38.05820084,-78.49182129
3,39,Ming Dynasty Restaurant & Lounge,Chinese,1417 Emmet St N,38.05646,-78.49667
2.5,42,Asian Express,Chinese,909 W Main St,38.032787,-78.49427
4,19,Marco & Luca Dumplings,Chinese,176 Zan Rd,38.06297228,-78.48930001
2.5,6,Shang Hai Restaurant,Chinese,312 Pantops Ctr,38.03179129,-78.45653488
4,71,Kabuto Sushi & Teppanyaki,Japanese,1836 Abbey Rd,38.03001359,-78.44666482
4,67,Mican Japanese Resturant,Japanese,112 W Main St,38.03022688,-78.48226004
3.5,100,Now and Zen,Japanese,202 2nd St NW,38.03188451,-78.48172277
4,29,Kyoto Restaurant,Japanese,1864 Rio Hill Ctr,38.0872254,-78.4735611
3.5,49,Miso Sweet,Japanese,412 E Main St,38.02995935,-78.47899161
3.5,65,Tokyo Rose,Japanese,2171 Ivy Rd,38.0440966,-78.5135831
4,62,Sushi King,Japanese,171 Seminole Ct,38.06478046,-78.48602504
3.5,34,Sakura,Japanese,237 Connor Dr,38.12885166,-78.44255447
3.5,96,Ten,Japanese,120 E Main St,38.03046,-78.48102
3,26,Flaming Wok & Teppan Yaki,Japanese,1305 Seminole Trl Ste A,38.07223432,-78.48224714
3.5,58,Kuma Sushi-Noodles & Bar,Japanese,12 Elliewood Ave,38.03615952,-78.50017548
3,55,Hibachi Grill Supreme Buffet,Japanese,1185 Seminole Ter,38.0680885,-78.4858093
